1,745 727 707 686 666 647 629 611 594 581 556 554 542 535 527 522 517 514,196 197 201 206 213 221 232 243 258 272 288 304 322 337 353 368 384 400,1,19,0.5,no
2,778 793 808 823 838 853 868 883 898 913 928,272 272 272 272 272 272 272 272 272 272 272,2,4,0.7,no
3,797 817 823,272 282 303,2,22,0.3,no
4,953 938 923 908 893 878 863 848 833 818 803,195 195 195 195 195 195 195 195 195 195 195,3,1,0.7,no
5,922 894 872 854 839 828 822,196 205 215 231 251 272 294,3,22,0.3,no
6,953 968 983 998 1013 1028 1043 1058 1073 1088 1103 1118 1133,272 272 272 272 272 272 272 272 272 272 272 272 272,4,6,0.7,no
7,1162 1147 1132 1117 1102 1087 1072 1057 1042 1027 1012 997 982,195 195 195 195 195 195 195 195 195 195 195 195 195,5,3,0.7,no
8,1203 1244 1274 1298 1315 1328 1335,275 292 314 340 368 399 428,6,8,0.5,no
9,1406 1403 1398 1393 1385 1378 1366 1364 1339 1326 1309 1291 1273 1254 1234 1213 1193 1175,400 384 368 353 337 322 304 288 272 258 243 232 221 213 206 201 197 196,7,5,0.5,no
10,1336 1336 1336 1336 1336 1336 1336 1336 1336 1336 1336 1336,450 465 480 495 510 525 540 555 570 585 600 615,8,10,0.7,no
11,1337 1325 1296,475 497 504,8,27,0.3,no
12,1411 1411 1411 1411 1411 1411 1411 1411 1411 1411 1411 1411,639 624 609 594 579 564 549 534 519 504 489 474,9,7,0.7,no
13,1411 1407 1396 1376 1346 1319 1295,615 589 566 547 527 510 505,9,27,0.3,no
14,1332 1322 1306 1283 1254 1221 1183,669 700 731 760 780 797 805,10,12,0.5,no
15,1175 1193 1213 1234 1254 1273 1291 1309 1326 1339 1364 1366 1378 1385 1393 1398 1403 1406,884 883 879 874 867 859 848 837 822 808 792 776 758 743 727 712 696 680,11,9,0.5,no
16,1146 1131 1116 1101 1086 1071 1056 1041 1026 1011 996 981 966,807 807 807 807 807 807 807 807 807 807 807 807 807,12,14,0.7,no
17,951 966 981 996 1011 1026 1041 1056 1071 1086 1101 1116 1131,882 882 882 882 882 882 882 882 882 882 882 882 882,13,11,0.7,no
18,951 936 921 906 891 876 861 846 831 816 801 786,807 807 807 807 807 807 807 807 807 807 807 807,14,16,0.7,no
19,931 911 897,803 795 778,14,31,0.3,no
20,762 777 792 807 822 837 852 867 882 897 912 927,882 882 882 882 882 882 882 882 882 882 882 882,15,13,0.7,no
21,789 814 839 858 878 891 896,882 877 866 850 832 810 798,15,31,0.3,no
22,724 686 653 626 609 597 589,803 792 775 749 725 697 668,16,18,0.5,no
23,514 517 522 527 535 542 554 556 581 594 611 629 647 666 686 707 727 745,680 696 712 727 743 758 776 792 808 822 837 848 859 867 874 879 883 884,17,15,0.5,no
24,584 584 584 584 584 584 584 584 584 584 584 584 584,637 622 607 592 577 562 547 532 517 502 487 472 457,18,20,0.7,no
25,507 507 507 507 507 507 507 507 507 507 507 507,451 466 481 496 511 526 541 556 571 586 601 616,19,17,0.7,no
26,586 595 608 630 666 715 746 ,409 378 351 323 295 276 273,20,2,0.5,no
27,895 894 886 871 850 825 802,296 273 247 222 211 201 197,21,1,0.3,no
28,904 919 934,300 286 276,21,4,0.3,no
29,822 822 822 822 822 822 822 822,324 339 354 369 384 399 414 429,22,24,0.7,no
30,896 896 896 896 896 896 896 896,449 434 419 404 389 374 359 344,23,21,0.7,no
31,824 836 856 890 928,480 515 543 568 575,24,26,1,no
32,820 820 820 820 820 820 820 820 820 820 820 820,449 464 479 494 509 524 539 554 569 584 599 614,24,30,0.7,no
33,927 906 898,500 491 473,25,23,0.3,no
34,929 898 876 856 840 830 822,504 508 522 540 562 584 610,25,30,0.3,no
35,960 975 990 1005 1020 1035 1050 1065 1080 1095 1110 1125 1140 1155 1170 1185 1200 1215 1230 1245,575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575,26,28,0.7,no
36,1269 1254 1239 1224 1209 1194 1179 1164 1149 1134 1119 1104 1089 1074 1059 1044 1029 1014 999 984,504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504,27,25,0.7,no
37,1304 1332 1354 1379 1394 1402 1409,573 567 555 537 519 497 474,28,7,0.3,no
38,1306 1325 1334,579 591 613,28,10,0.3,no
39,896 896 896 896 896 896 896 896 896 896 896 896,639 624 609 594 579 564 549 534 519 504 489 474,29,23,0.7,no
40,895 904 928,610 588 575,29,26,0.3,no
41,820 820 820 820 820 820 820,639 654 669 684 699 714 729,30,32,0.7,no
42,896 896 896 896 896 896 896,753 738 723 708 693 678 663,31,29,0.7,no
43,821 828 841 858 880 903 928,788 809 832 850 865 876 881,32,13,0.3,no
44,817 802 783,776 791 801,32,16,0.3,no
