1,745 707 679 650 609 575 544 524 514,196 200 210 223 245 278 320 364 400,1,19,0.5
2,812 836 853 837 814,272 256 232 206 194,2,1,0.3
3,778 793 808 823 838 853 868 883 898 913 928,272 272 272 272 272 272 272 272 272 272 272,2,4,0.7
4,797 817 823,272 282 303,2,22,0.3
5,953 938 923 908 893 878 863 848 833 818 803,195 195 195 195 195 195 195 195 195 195 195,3,1,0.7
6,934 918 907 918 935,200 214 232 251 266,3,4,0.3
7,922 894 872 854 839 828 822,196 205 215 231 251 272 294,3,22,0.3
8,953 968 983 998 1013 1028 1043 1058 1073 1088 1103 1118 1133,272 272 272 272 272 272 272 272 272 272 272 272 272,4,6,0.7
9,1162 1147 1132 1117 1102 1087 1072 1057 1042 1027 1012 997 982,195 195 195 195 195 195 195 195 195 195 195 195 195,5,3,0.7
10,1203 1244 1274 1298 1315 1328 1335,275 292 314 340 368 399 428,6,8,0.5
11,1410 1406 1401 1395 1386 1376 1362 1345 1331 1314 1293 1271 1247 1216 1190,430 408 386 366 343 322 300 281 265 248 233 221 210 202 197,7,5,0.5
12,1337 1355 1375 1396 1412,467 483 491 484 468,8,7,0.3
13,1336 1336 1336 1336 1336 1336 1336 1336 1336 1336 1336 1336,450 465 480 495 510 525 540 555 570 585 600 615,8,10,0.7
14,1337 1325 1296,475 497 504,8,27,0.3
15,1411 1411 1411 1411 1411 1411 1411 1411 1411 1411 1411 1411,639 624 609 594 579 564 549 534 519 504 489 474,9,7,0.7
16,1411 1399 1375 1348 1336,618 598 587 599 617,9,10,0.3
17,1411 1407 1396 1376 1346 1319 1295,615 589 566 547 527 510 505,9,27,0.3
18,1332 1322 1306 1283 1254 1221 1183,669 700 731 760 780 797 805,10,12,0.5
19,1203 1260 1308 1346 1372 1391 1404,876 860 833 799 763 723 678,11,9,0.5
20,1146 1131 1116 1101 1086 1071 1056 1041 1026 1011 996 981 966,807 807 807 807 807 807 807 807 807 807 807 807 807,12,14,0.7
21,951 966 981 996 1011 1026 1041 1056 1071 1086 1101 1116 1131,882 882 882 882 882 882 882 882 882 882 882 882 882,13,11,0.7
22,924 906 897 907 926,809 825 844 868 882,14,13,0.3
23,951 936 921 906 891 876 861 846 831 816 801 786,807 807 807 807 807 807 807 807 807 807 807 807,14,16,0.7
24,931 911 897,803 795 778,14,31,0.3
25,762 777 792 807 822 837 852 867 882 897 912 927,882 882 882 882 882 882 882 882 882 882 882 882,15,13,0.7
26,787 807 818 806 785 ,883 868 848 824 808,15,16,0.3
27,789 814 839 858 878 891 896,882 877 866 850 832 810 798,15,31,0.3
28,724 686 653 626 609 597 589,803 792 775 749 725 697 668,16,18,0.5
29,513 523 541 565 606 650 707,672 713 749 788 827 859 876,17,15,0.5
30,584 584 584 584 584 584 584 584 584 584 584 584 584,637 622 607 592 577 562 547 532 517 502 487 472 457,18,20,0.7
31,507 507 507 507 507 507 507 507 507 507 507 507,451 466 481 496 511 526 541 556 571 586 601 616,19,17,0.7
32,586 595 608 630 666 715 746 ,409 378 351 323 295 276 273,20,2,0.5
33,895 894 886 871 850 825 802,296 273 247 222 211 201 197,21,1,0.3
34,904 919 934,300 286 276,21,4,0.3
35,822 822 822 822 822 822 822 822,324 339 354 369 384 399 414 429,22,24,0.7
36,896 896 896 896 896 896 896 896,449 434 419 404 389 374 359 344,23,21,0.7
37,833 859 885,472 486 473,24,23,0.3
38,824 836 856 890 928,480 515 543 568 575,24,26,1
39,820 820 820 820 820 820 820 820 820 820 820 820,449 464 479 494 509 524 539 554 569 584 599 614,24,30,0.7
40,927 906 898,500 491 473,25,23,0.3
41,937 914 906 915 937,504 518 539 557 576,25,26,0.3
42,929 898 876 856 840 830 822,504 508 522 540 562 584 610,25,30,0.3
43,960 975 990 1005 1020 1035 1050 1065 1080 1095 1110 1125 1140 1155 1170 1185 1200 1215 1230 1245,575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575 575,26,28,0.7
44,1269 1254 1239 1224 1209 1194 1179 1164 1149 1134 1119 1104 1089 1074 1059 1044 1029 1014 999 984,504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504 504,27,25,0.7
45,1304 1332 1354 1379 1394 1402 1409,573 567 555 537 519 497 474,28,7,0.3
46,1306 1325 1334,579 591 613,28,10,0.3
47,1295 1320 1331 1319 1296,576 557 538 520 505,28,27,0.3
48,896 896 896 896 896 896 896 896 896 896 896 896,639 624 609 594 579 564 549 534 519 504 489 474,29,23,0.7
49,895 904 928,610 588 575,29,26,0.3
50,896 879 858 836 820,619 595 586 594 618,29,30,0.3
51,820 820 820 820 820 820 820,639 654 669 684 699 714 729,30,32,0.7
52,896 896 896 896 896 896 896,753 738 723 708 693 678 663,31,29,0.7
53,821 828 841 858 880 903 928,788 809 832 850 865 876 881,32,13,0.3
54,817 802 783,776 791 801,32,16,0.3
55,820 833 859 887 896,769 791 798 793 769,32,31,0.3
